date,vault_name,vault_address,underlying_token,daily_apy_pct
2025-10-13,kpk EURC Yield,0x0c6aec603d48eBf1cECc7b247a2c3DA08b398DC1,EURC,4.066480377028657
2025-09-01,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,3.272420136457501
2025-09-02,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,3.763089727449381
2025-09-03,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,3.9980989909660583
2025-09-04,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.057527613649518
2025-09-05,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.655402450744439
2025-09-06,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,6.063440628311387
2025-09-07,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,5.122605415728845
2025-09-08,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.6162763062851635
2025-09-09,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,5.941629643323657
2025-09-10,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,3.727531532967273
2025-09-11,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,3.7906738824569945
2025-09-12,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,3.812625043764861
2025-09-13,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.835348910644044
2025-09-14,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.6994546746242465
2025-09-15,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.653896471279614
2025-09-16,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.057758446518908
2025-09-17,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.993018670870144
2025-09-18,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.386789889045682
2025-09-19,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,5.993158325112506
2025-09-20,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,6.083515391655705
2025-09-21,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,5.755639568838523
2025-09-22,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,5.471516982055027
2025-09-23,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,5.177369072206691
2025-09-24,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,6.63570176345921
2025-09-25,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.241893917767241
2025-09-26,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.116583383985517
2025-09-29,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,12.525633129847565
2025-09-30,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,2.7174758460870496
2025-10-01,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.005819862021126
2025-10-02,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.342484661197304
2025-10-03,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,6.797833754497255
2025-10-04,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,6.901851083266765
2025-10-05,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,5.778778017274961
2025-10-06,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,5.578517555998464
2025-10-07,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,5.479148448555384
2025-10-08,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,5.6695097981058495
2025-10-09,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.71391930385377
2025-10-10,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,5.175069642098328
2025-10-11,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,5.317244921471318
2025-10-12,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.662661095372255
2025-10-13,Gauntlet USDC Prime,0xdd0f28e19C1780eb6396170735D45153D261490d,USDC,4.069014801459322
2025-09-01,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,7.757195314647331
2025-09-02,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,8.282894212443173
2025-09-03,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,7.998666460584704
2025-09-04,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,9.042447639614938
2025-09-05,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,9.642669600841849
2025-09-06,Smokehouse USDC,0xBEeFFF209270748ddd194831b3fa287a5386f5bC,USDC,9.166723724608094
